"","Bank_Name","city_name","employees"
"197","Ja Bank","Kofu","3,462"
"198","Jago","Jakarta","386"
"199","Japan Post Bank","Tokyo","12,169"
"200","K bank","Seoul","16,292"
"201","KakaoBank","Seongnam","673"
"202","Kansai Mirai Bank","Osaka","3,969"
"203","KB Kookmin Bank","Seoul","13,530"
"204","KBC Bank","Brussels","40,000"
"205","KEB Hana Bank","Seoul","1,000"
"206","Keiyo Bank","Chiba City","1,994"
"207","Kerala Gramin Bank","Kerala","3,458"
"208","Keytrade Bank","Brussels","264"
"209","Kiwibank","Lower Hutt",""
"210","Kiyo Bank ","Wakayama","2,080"
"211","Knab","Amsterdam",""
"212","Kotak Mahindra Bank","Mumbai","73,000"
"213","Laboral Kutxa","Mondragón","1,954"
"214","LANDBANK","Manila","10,340"
"215","LCL","Villejuif Cedex","17,300"
"216","Liberty Bank","Middletown","683"
"217","Lloyds Bank","London","63,000"
"218","Luzerner Kantonalbank","Luzern","1,250"
"219","Manulife Bank","Waterloo","820"
"220","Maya Bank","Mandaluyong City","832"
"221","Maybank","Kuala Lumpur","42,000"
"222","mBank","Warsaw","6,688"
"223","ME","Melbourne","1,800"
"224","MeDirect","Brussels","59"
"225","Mega International Commercial Bank","Taipei","6,655"
"226","Mercantile","Tel Aviv",""
"227","MidFirst Bank","Oklahoma City","2,826"
"228","Military Commercial Joint Stock Bank","Hanoi","9,600"
"229","Mittelbrandenburgische Sparkasse","Potsdam","1,541"
"230","Mizrahi Tefahot Bank","Ramat Gan","7,632"
"231","Monabanq","Lille","171"
"232","Monzo","London","1,332"
"233","MOX","Hong Kong",""
"234","M&T Bank","Buffalo","18,000"
"235","MUFG Bank","Tokyo","28,843"
"236","N26","Berlin","1,500"
"237","Nanto Bank","Nara City","2,346"
"238","National Commercial Bank","Jeddah","16,113"
"239","Nationwide Building Society","Swindon","17,000"
"240","Natwest","London","13,200"
"241","NBT Bank","Norwich","1,482"
"242","neon (Switzerland)","Zurich","40"
"243","Nest Bank","Warsaw","910"
"244","Newcastle Permanent Building Society","Newcastle West","880"
"245","NH Bank - National Agricultural Cooperative Federation","Seoul","16,292"
"246","norisbank","Bonn","56"
"247","North Pacific Bank","Sapporo","2,553"
"248","Northwest Bank","Warren","2,200"
"249","Nubank","São Paulo","7,000"
"250","OCBC Bank","Singapore","30,000"
"251","Ogaki Kyoritsu Bank","Ogaki City","2,557"
"252","Open Bank","Madrid","130"
"253","Orange Bank","Montreuil","890"
"254","Ostsächsische Sparkasse Dresden","Dresden","1,559"
"255","PagBank","São Paulo","4,630"
"256","PayPay Bank","Tokyo","1,000"
"257","Paytm Payments Bank","Noida","1,832"
"258","PC Financial","Toronto","249"
"259","People's Choice Credit Union","Adelaide","1,400"
"260","Pepper","Tel Aviv","3,084"
"261","Philippine National Bank","Pasay City","8,656"
"262","Ping An Bank","Shenzhen","6,768"
"263","Pinnacle Bank","Lincoln","876"
"264","PKO Bank Polski","Warsaw","25,657"
"265","PNC Financial Services","Pittsburgh","51,257"
"266","Prosperity Bancshares","Houston","3,901"
"267","PSBank","Makati City",""
"268","Punjab National Bank","New Delhi","74,897"
"269","Qatar International Islamic Bank","Doha",""
"270","Qatar Islamic Bank","Doha","1,179"
"271","Qatar National Bank","Doha",""
"272","Rabobank","Utrecht","43,000"
"273","Raiffeisen-Bankengruppe Steiermark","Graz","3,076"
"274","Raiffeisenbank Bern","Zurich","9,678"
"275","Rakuten Bank","Tokyo","18,364"
"276","RBC","Toronto","89,000"
"277","RBL Bank","Kolhapur","14,186"
"278","RBS International","Jersey","1,600"
"279","RegioBank","Utrecht","3,000"
"280","Regions Financial","Birmingham","19,406"
"281","Renasant Bank","Tupelo","2,458"
"282","Revolut","Vilnius","2,200"
"283","Riyad Bank","Riyadh","5,652"
"284","Rizal Commercial Banking","Makati City ","5,650"
"285","Robinsons Bank","Manila","1,986"
"286","Rockland Trust","Rockland","1,432"
"287","Sacombank","Ho Chi Minh City","18,500"
"288","Saitama Resona Bank","Saitama",""
"289","Santander","Santander","55,993"
"290","Saraswat Bank","Mumbai","4,242"
"291","Sbi Sumishin Net Bank","Tokyo","33"
"292","Scotiabank","Toronto","90,000"
"293","Senshu Ikeda Bank","Osaka","2,207"
"294","Servus","Edmonton","2,200"
"295","Seven Bank","Tokyo","523"
"296","Shinhan Bank","Seoul","13,400"
"297","Shinsei Bank","Tokyo","5,648"
"298","Sicoob","Brasilia","41,281"
"299","Simmons Bank","Pine Bluff","2,800"
"300","Simplii Financial","Toronto","45,000"
"301","SoFi","San Francisco","2,500"
"302","Sony Bank","Tokyo","11,487"
"303","South Indian Bank","Kerala","8,314"
"304","SouthState Bank","Columbia","2,553"
"305","Sparda-Bank Berlin","Berlin","754"
"306","Sparda-Bank Hamburg","Hamburg","377"
"307","Sparda-Bank Hannover","Hannover","426"
"308","Sparda-Bank Hessen","Frankfurt (on the Main)","254"
"309","Sparda-Bank Südwest","Mainz","700"
